,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC
MAP_0887c,7060.940327,-3.539968262,0.07923136,-44.67887769,0,0,3.539968262,-11.63152425
MAP_2257,1629.724185,-7.659114134,0.138881836,-55.14842217,0,0,7.659114134,-202.126425
MAP_2727,4828.371198,8.09819939,0.150756684,53.71701739,0,0,8.09819939,274.0317772
MAP_3364c,6832.673718,3.058862385,0.079491292,38.48047154,0,0,3.058862385,8.333152515
MAP_2724c,1510.655967,6.096930236,0.169125746,36.04968724,1.39E-284,1.21E-281,6.096930236,68.44770366
MAP_2726c,7648.093448,7.984352124,0.233469097,34.19875357,2.52E-256,1.83E-253,7.984352124,253.238356
MAP_4209,816.0276316,5.032224796,0.189930087,26.49514286,1.10E-154,6.85E-152,5.032224796,32.72281135
MAP_1725c,820.3779583,4.838458898,0.183220687,26.40781994,1.11E-153,6.06E-151,4.838458898,28.6102242
MAP_2642,887.2180553,6.056140969,0.232666793,26.02924508,2.31E-149,1.12E-146,6.056140969,66.53958525
MAP_3098c,6730.133319,-2.751110312,0.106404675,-25.85516379,2.13E-147,9.26E-145,2.751110312,-6.732350613
MAP_4013,1371.813694,2.783975192,0.112106045,24.83340839,3.91E-136,1.55E-133,2.783975192,6.887475072
MAP_3153,383.0658188,2.502865311,0.101474767,24.66490322,2.55E-134,9.23E-132,2.502865311,5.668100392
MAP_0886c,911.5881499,-3.031988172,0.123124874,-24.62530987,6.77E-134,2.26E-131,3.031988172,-8.179361184
MAP_1497c,701.4133304,3.89048371,0.159884249,24.33312689,8.75E-131,2.72E-128,3.89048371,14.83038052
MAP_0101,550.0504049,2.228509401,0.091830412,24.26766207,4.30E-130,1.25E-127,2.228509401,4.686495186
MAP_3069,403.6053225,2.750798879,0.116842702,23.54275304,1.49E-122,4.05E-120,2.750798879,6.730897464
MAP_3068,270.1515505,2.657360425,0.114384623,23.23179778,2.17E-119,5.56E-117,2.657360425,6.308777302
MAP_0824,11094.91679,-2.353859262,0.101522525,-23.18558634,6.36E-119,1.54E-116,2.353859262,-5.111898751
MAP_3627,1017.393086,-1.561959196,0.067672544,-23.08113622,7.16E-118,1.64E-115,1.561959196,-2.952545302
MAP_1819c,424.8883676,-2.612620862,0.114091951,-22.89925665,4.73E-116,1.03E-113,2.612620862,-6.11613759
MAP_2104,1605.551243,-4.378520246,0.191430651,-22.87261849,8.71E-116,1.80E-113,4.378520246,-20.80012433
MAP_3702,3400.98608,-3.111984745,0.138640153,-22.44648951,1.38E-111,2.74E-109,3.111984745,-8.645711797
MAP_3188,2103.312475,-2.821833638,0.125897155,-22.41379991,2.89E-111,5.46E-109,2.821833638,-7.070604866
MAP_4207c,437.9483512,4.813642562,0.214953982,22.3938283,4.52E-111,8.19E-109,4.813642562,28.12229759
