"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ABSLFC","FC"
"MAP_0478",3323.09314028362,4.0903780607491,0.0982685994035995,41.6244668752171,0,0,4.0903780607491,17.0343862250093
"MAP_1003c",13954.3580624475,-3.38074548062494,0.0865256436253586,-39.0721795178201,0,0,3.38074548062494,-10.4161157496904
"MAP_1514",1560.97327980278,4.39910108353446,0.114844909726688,38.3047110577525,0,0,4.39910108353446,21.0989760960306
"MAP_1698c",2336.30423587803,3.79839069605695,0.0844559554490623,44.9748117330561,0,0,3.79839069605695,13.9132803049357
"MAP_3267c",3036.29207105908,6.7863793626393,0.144153756521228,47.0773674332928,0,0,6.7863793626393,110.383395717678
"MAP_3268",1717.73648373154,6.19725790469509,0.163286620275899,37.9532499002295,0,0,6.19725790469509,73.3770960377325
"MAP_3296c",36752.827746296,5.01072676569287,0.112153586370906,44.6773654577731,0,0,5.01072676569287,32.2388139946799
"MAP_0480",575.374398850122,4.69878794871845,0.127248392996249,36.9261083623819,1.76151823924403e-298,9.5782554258894e-296,4.69878794871845,25.9702491321473
"MAP_3516",7849.78521668695,4.36852980333712,0.122305553803898,35.7181637911678,2.06554814680811e-279,9.98348270957254e-277,4.36852980333712,20.6565842068497
"MAP_3255",2051.77816536084,-5.55058036794203,0.158832081258065,-34.9462169353786,1.47810673718498e-267,6.42976430675465e-265,5.55058036794203,-46.8695931971527
"MAP_1819c",424.88836756045,3.7955423780942,0.119973819778767,31.6364218884856,1.16584174914232e-219,4.61037418979006e-217,3.7955423780942,13.8858383643002
"MAP_0479",931.871515753878,4.1136596938901,0.130106569599675,31.6176170545994,2.1144137840239e-219,7.66474996708665e-217,4.1136596938901,17.3115103532595
"MAP_3830c",16886.6519488313,2.88735200328447,0.0934952456747567,30.8823404061501,2.06223077482383e-209,6.9005414388336e-207,2.88735200328447,7.39911131448113
