"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ABSLFC","FC"
"MAP_1668c",3830.66887736263,4.52996688519586,0.107146977233079,42.2780651603614,0,0,4.52996688519586,23.1023368443302
"MAP_1698c",2336.30423587803,3.6285747612871,0.0880085209096826,41.2298118839068,0,0,3.6285747612871,12.3682952696375
"MAP_2152c",2262.99446617177,7.11600981193677,0.165343881189566,43.0376362326846,0,0,7.11600981193677,138.717867189272
"MAP_3296c",36752.827746296,4.98388238077123,0.112642499669992,44.2451330126063,0,0,4.98388238077123,31.6444893249174
"MAP_1514",1560.97327980278,4.40077402679174,0.117529334992611,37.4440477100326,7.50761630545478e-307,6.53162618574565e-304,4.40077402679174,21.1234565732357
"MAP_3830c",16886.6519488313,3.50252953657536,0.0939782359409434,37.269581637778,5.10552385193204e-304,3.70150479265073e-301,3.50252953657536,11.3335626901011
"MAP_3516",7849.78521668695,4.62695848241843,0.124393785230266,37.1960582584849,7.90260590692107e-303,4.91090509930095e-300,4.62695848241843,24.7088931812526
"MAP_2516",2036.56085724757,5.35854599475216,0.145583858139138,36.8072811316133,1.41197801390934e-296,7.67763045063204e-294,5.35854599475216,41.0282579733086
"MAP_3355c",15694.8230076764,2.8689093307288,0.0852844186175818,33.6393139243065,4.46832609304526e-248,2.15969094497187e-245,2.8689093307288,7.30512687926636
"MAP_0859c",3097.66939008862,4.12376293536635,0.134341849361918,30.6960411439396,6.42797627450937e-207,2.79616967941158e-204,4.12376293536635,17.433168929826
"MAP_0530c",848.460900479456,3.15466500362009,0.10285843428971,30.6699691221692,1.43174011489576e-206,5.66188136345143e-204,3.15466500362009,8.9053048779456
"MAP_3662c",2256.72495185437,3.92723362705968,0.129242672258001,30.3865090255943,8.28078945021647e-203,3.00178617570347e-200,3.92723362705968,15.2130089835169
"MAP_2838c",4263.49002353349,2.17534589479548,0.0722166955670565,30.1224789879173,2.4605900710049e-199,8.23351292990101e-197,2.17534589479548,4.51694045299684
"MAP_0521c",803.546863401203,3.35971331214296,0.115078824194599,29.1948873796423,2.25180712558704e-187,6.99668642593115e-185,3.35971331214296,10.2653670760929
"MAP_2583c",3363.77167090051,-4.60921528166568,0.159373482052487,-28.9208419261852,6.53101497259979e-184,1.89399434205394e-181,4.60921528166568,-24.4068682191288
"MAP_2149c",284.573385644862,5.47197222043546,0.189505483119248,28.875007363202,2.45980807077417e-183,6.68760319241728e-181,5.47197222043546,44.3841363729239
"MAP_2822",2333.10415667153,2.8156838994683,0.0977518202256777,28.8044140044429,1.88859319408106e-182,4.83257670250154e-180,2.8156838994683,7.04052933000438
"MAP_2821",981.365510577495,2.89174805222831,0.106469612299833,27.1603135370189,1.9128037894742e-162,4.62260915789598e-160,2.89174805222831,7.42169159746884
"MAP_3517",3669.64567220409,5.32708006385674,0.196317351372192,27.1350444910868,3.80187496479145e-162,8.70429268254884e-160,5.32708006385674,40.1430982657055
"MAP_2469c",1096.8072879794,2.81190509012239,0.104344986017144,26.9481572373818,5.99512744416272e-160,1.30394021910539e-157,2.81190509012239,7.02211240538387
"MAP_4209",816.027631626573,5.45204220196561,0.207146426403425,26.3197502202986,1.13969301863571e-152,2.36079268145969e-150,5.45204220196561,43.7752102261945
"MAP_3784",865.706903636283,2.59641977888195,0.101887427537283,25.4832204683139,3.02545048221623e-143,5.98214072620027e-141,2.59641977888195,6.04783918826661
"MAP_1846c",777.371645546342,3.35255422297701,0.131799025942268,25.4368664639869,9.86556141789506e-143,1.86587792034102e-140,3.35255422297701,10.2145534003738
"MAP_1588c",14035.1376333054,3.35300896958095,0.13194323029197,25.412512352178,1.83421323486707e-142,3.32451148819656e-140,3.35300896958095,10.2177735997138
"MAP_1003c",13954.3580624475,-2.21160816478506,0.0872445821907191,-25.3495186663903,9.09689937091903e-142,1.58286049053991e-139,2.21160816478506,-4.63191302877917
"MAP_0860c",7623.72455462861,3.95629797266732,0.156220831060385,25.3250347332878,1.69328098004625e-141,2.83298933200046e-139,3.95629797266732,15.5225962545831
"MAP_0527",319.855354340332,4.27225100490734,0.168991389416049,25.280879810919,5.18441915010342e-141,8.35267529738885e-139,4.27225100490734,19.323051060381
"MAP_3952",2454.49014429899,2.45276848908654,0.0985637304985102,24.8851020216165,1.07869537855149e-136,1.67583032024963e-134,2.45276848908654,5.47465665749652
"MAP_0824",11094.916789165,-2.62710628807948,0.106738720258873,-24.6124956502005,9.28352900762326e-134,1.39252935114349e-131,2.62710628807948,-6.1778561909139
"MAP_1288c",3357.10412027718,-3.92495132376858,0.159970646290355,-24.5354470634856,6.18527521931134e-133,8.96864906800144e-131,3.92495132376858,-15.188961454154
"MAP_0498",521.624294049066,3.63747720444049,0.148635452403497,24.4724737310041,2.90154655983912e-132,4.07152501138716e-130,3.63747720444049,12.4448523134409
"MAP_3268",1717.73648373154,4.16534018872533,0.173594765186059,23.9946186410685,3.16481498943322e-127,4.30217037626078e-125,4.16534018872533,17.9428876979398
"MAP_1561c",10321.5128908619,-2.86608465130975,0.120306463979261,-23.8231974950558,1.92045426783084e-125,2.53150789850428e-123,2.86608465130975,-7.29083802842235
"MAP_0525",356.500973068656,3.74328000212159,0.157654391342998,23.7435822131817,1.27996628346069e-124,1.63760392148647e-122,3.74328000212159,13.3918187508169
"MAP_3714",3062.10396821319,2.03774268940063,0.0874158449481734,23.3109076576307,3.4365175714996e-120,4.27110041029236e-118,2.03774268940063,4.10602579096719
"MAP_2437",12932.5623445279,-1.76519374225561,0.0758571099421368,-23.2699841003972,8.92929279041353e-120,1.07895621217497e-117,1.76519374225561,-3.39919645044867
"MAP_1507",16474.9155843385,-1.94953254983123,0.0842433150741124,-23.1416884308998,1.76276495735412e-118,2.0724398822947e-116,1.94953254983123,-3.8624936195473
"MAP_4013",1371.81369393964,2.90812664734134,0.126436062316518,23.0007688792236,4.57941372596409e-117,5.24222360735363e-115,2.90812664734134,7.506428496767
"MAP_2642",887.218055284324,5.70334293282269,0.248120071459489,22.9862215469895,6.40254326932871e-117,7.14129826194356e-115,5.70334293282269,52.1047478232556
"MAP_2208",20883.1553081098,-2.89236108796674,0.126244328719876,-22.9108199734232,3.62457886245894e-116,3.9417295129241e-114,2.89236108796674,-7.42484592242901
"MAP_1515",742.483771210556,3.75446781823707,0.164975976461869,22.7576638657134,1.20496843841696e-114,1.27844212368629e-112,3.75446781823707,13.4960733843001
"MAP_2517",1717.37682664112,2.83809684951449,0.124993446442004,22.7059652349962,3.91150663360247e-114,4.05120329908828e-112,2.83809684951449,7.15076132027067
"MAP_3994",6052.89980223456,2.51575207891498,0.111542135408456,22.5542757425484,1.21918307421234e-112,1.2333596215869e-110,2.51575207891498,5.71895708223758
"MAP_3978",5690.73767382034,-2.90461559926184,0.12957898036379,-22.4157929866958,2.76079928214659e-111,2.72942656303129e-109,2.90461559926184,-7.48818251521174
"MAP_1007",1493.04926008421,-3.33825892776085,0.149135692710625,-22.3840374298474,5.63081438492673e-111,5.44312057209584e-109,3.33825892776085,-10.113839806621
"MAP_2468c",1225.14436518102,2.25797074949035,0.101088540154103,22.3365650156608,1.63114321749974e-110,1.54249412959214e-108,2.25797074949035,4.78318220754076
"MAP_0522",1589.35789704298,1.81243748603747,0.0827705277080063,21.8971358069782,2.76632459405597e-106,2.56032169875393e-104,1.81243748603747,3.5123521223956
"MAP_2452c",3625.18778124787,1.69891053782454,0.0775903546953875,21.8958985880952,2.84245078372895e-106,2.57597102275436e-104,1.69891053782454,3.24655699719143
"MAP_2823",16085.9074926894,-2.15541475011555,0.0988130114443174,-21.8130660993989,1.74388813507904e-105,1.54814558930486e-103,2.15541475011555,-4.45496701555668
"MAP_2887c",583.187026182186,2.76684380526549,0.126939505758847,21.7965541044549,2.50155416892648e-105,2.17635212696604e-103,2.76684380526549,6.80617291945369
"MAP_3780",1532.24318367212,2.5421155871662,0.116705645794516,21.7822845660964,3.41606503834741e-105,2.91370253270809e-103,2.5421155871662,5.82442482392018
"MAP_0524",696.676171458673,3.37308899732109,0.156234054954407,21.5899728026994,2.23144080584777e-103,1.86668605873804e-101,3.37308899732109,10.3609831219579
"MAP_2467c",1090.12256683314,2.48845126420463,0.116914999376285,21.2842772739166,1.58776030732834e-100,1.30316176167515e-98,2.48845126420463,5.61175204208677
"MAP_2451c",5002.38592036647,2.12791081388668,0.100028119822172,21.2731261736164,2.01400868954139e-100,1.62239588879723e-98,2.12791081388668,4.37084074659757
"MAP_0006",12419.4914777429,1.57455782847755,0.0743807846423373,21.1688789792803,1.84903314862885e-99,1.46241712664282e-97,1.57455782847755,2.97844192384075
"MAP_1059",475.524755016483,2.88937130262092,0.136733366444221,21.1314281053674,4.08988764241106e-99,3.17696629365859e-97,2.88937130262092,7.40947489187305
"MAP_3388c",4740.72970873126,-2.01321357175515,0.0953752911962152,-21.1083347322461,6.66810288223464e-99,5.08881535749486e-97,2.01321357175515,-4.03680408614164
"MAP_3779",746.00573317036,2.42454550988837,0.115148340102674,21.0558442069288,2.02149834109412e-98,1.51612375582059e-96,2.42454550988837,5.36859848295613
"MAP_0661c",7193.43204148604,-6.53586747510059,0.313152927440932,-20.8711683729458,9.79112842556837e-97,7.21888282224109e-95,6.53586747510059,-92.7880734689548
"MAP_4227c",5561.761064344,-2.38897847235853,0.115508670845948,-20.6822436347196,5.00577269018236e-95,3.62918520038221e-93,2.38897847235853,-5.23786353327339
"MAP_1289",6316.99515699268,-4.07760189124593,0.197343753384473,-20.6624320319974,7.54660549176773e-95,5.38159571953928e-93,4.07760189124593,-16.8841996788404
"MAP_0542c",332.577547524749,3.8063441701409,0.185786906842446,20.4876879368513,2.77250517936979e-93,1.94522540810622e-91,3.8063441701409,13.9901950373004
"MAP_1039",1412.97108868075,-4.04104092090377,0.19876671561919,-20.3305714858511,6.89942513373932e-92,4.76388878282001e-90,4.04104092090377,-16.4616942426126
"MAP_1802c",1541.40060035304,-3.38136797616235,0.166408723144185,-20.3196557985279,8.61784595787858e-92,5.8574421744956e-90,3.38136797616235,-10.4206110757621
"MAP_2988c",2202.40861137743,-2.28948252112567,0.113698805147231,-20.1363815403422,3.5429397338574e-90,2.37104428342765e-88,2.28948252112567,-4.88880723474963
"MAP_3694c",38155.9542091967,-2.55230780980926,0.127303388646913,-20.049017052392,2.05872510070401e-89,1.35688699819128e-87,2.55230780980926,-5.86571839027829
"MAP_1563c",2808.33088237883,-3.15548810403728,0.157537275568941,-20.0301045745608,3.01025192766823e-89,1.95441729632191e-87,3.15548810403728,-8.9103870687969
"MAP_3204",762.241573858332,2.35673808475195,0.117833427832323,20.0005900541703,5.44247800004891e-89,3.48158519120776e-87,2.35673808475195,5.12210946336367
"MAP_3630",3550.6019703977,2.8645983709203,0.143273339279463,19.9939387559938,6.21877665074625e-89,3.92053310590525e-87,2.8645983709203,7.28333079412001
"MAP_2938c",2941.69142088712,1.61264835520922,0.0807254419782421,19.9769529368928,8.739806775222e-89,5.43116563888796e-87,1.61264835520922,3.05812707214538
"MAP_4210",550.73809087785,5.54037335880421,0.278223791165752,19.9133702247035,3.11628786454688e-88,1.90927495926464e-86,5.54037335880421,46.539162987043
"MAP_2557c",46139.6110079659,-1.5441182067086,0.0775848247592033,-19.9023225418245,3.88502825052921e-88,2.34720456802807e-86,1.5441182067086,-2.91625769038839
"MAP_3354c",7164.90380982633,1.4598039612663,0.0741033630759239,19.6995642393535,2.17483777609432e-86,1.29596497616579e-84,1.4598039612663,2.75070983426561
"MAP_3111c",1478.71832807709,-4.98597155258473,0.254925849538238,-19.5585169633291,3.49083352353213e-85,2.05204403072497e-83,4.98597155258473,-31.6903470176475
"MAP_0529c",410.225514493204,2.83217174114488,0.146109727914291,19.3838684225478,1.05602164724934e-83,6.12492555404619e-82,2.83217174114488,7.12145356685774
"MAP_2312c",347.391590456636,2.53163577360042,0.130873026407685,19.3442135716651,2.28056660607025e-83,1.30532430742179e-81,2.53163577360042,5.78226918774822
"MAP_2286c",13160.2164507916,-2.30168795014671,0.119080917726087,-19.3287723515963,3.07651451303961e-83,1.7380309261977e-81,2.30168795014671,-4.93034277074913
"MAP_0543c",295.700912560706,3.09790044974313,0.160538859378764,19.2968883778735,5.70423719689261e-83,3.18120920595934e-81,3.09790044974313,8.56171878292072
"MAP_2015",1846.63365025862,-2.95370930466405,0.153329027243742,-19.2638625429264,1.08012686538682e-82,5.94753400561096e-81,2.95370930466405,-7.74738430002273
"MAP_1618c",2693.98329955655,2.58456625824975,0.134458602996382,19.2220222481361,2.42146230536951e-82,1.31667012854467e-80,2.58456625824975,5.99835230017309
"MAP_1456",1807.68408050577,-5.55320047940066,0.290460621935057,-19.1186001131757,1.76789043155152e-81,9.49422639166555e-80,5.55320047940066,-46.9547914791363
"MAP_3413",2926.37332008983,2.81590887898905,0.149330918293354,18.856837627271,2.58209208472538e-79,1.36976836201895e-77,2.81590887898905,7.04162734336247
"MAP_0496c",439.577375190279,2.81598268158061,0.149412473228542,18.8470388096265,3.10757771747637e-79,1.62867024952075e-77,2.81598268158061,7.041987574475
"MAP_3284c",9613.06790098106,1.75095272972906,0.0933578589279974,18.7552794144464,1.75294064401016e-78,9.07772833505264e-77,1.75095272972906,3.36580764578893
"MAP_1508",6191.50474639459,-1.90146320965444,0.102461756891811,-18.5577845562631,7.05548088391641e-77,3.61074609941605e-75,1.90146320965444,-3.73591908787277
"MAP_1589c",22966.542907585,4.21706556496351,0.228910178246124,18.422359360663,8.69304494103869e-76,4.39706342947887e-74,4.21706556496351,18.5978709030798
"MAP_3485",2405.9810472824,-2.30525339861281,0.125826354475948,-18.3209106567056,5.63618003736724e-75,2.81809001868362e-73,2.30525339861281,-4.94254259297828
"MAP_0658c",11767.3435114909,2.01640478205363,0.110104949182573,18.3134799754559,6.46057977092063e-75,3.19358204585281e-73,2.01640478205363,4.04574329269098
"MAP_1296",603.366024082147,2.03230671878403,0.111197964604373,18.2764740884844,1.27400648360406e-74,6.22688562210972e-73,2.03230671878403,4.09058369324934
"MAP_3360c",5521.7731256305,-1.41424028217183,0.0774391529885078,-18.2626000878614,1.64278527193165e-74,7.94012881433632e-73,1.41424028217183,-2.66519350362413
"MAP_2701c",8611.70886733357,-1.61114934515432,0.0883668772617761,-18.2325028911171,2.84975466119372e-74,1.36224536002117e-72,1.61114934515432,-3.0549512225216
"MAP_2598c",1051.90329064862,1.80562356769848,0.10029677546264,18.002807760964,1.85188114922404e-72,8.75617717296149e-71,1.80562356769848,3.49580222746833
"MAP_1695c",928.088021935968,2.74730432680331,0.154034053805505,17.8356945034522,3.73381337587176e-71,1.74646109516582e-69,2.74730432680331,6.71461334994041
"MAP_4272c",948.437361332583,-2.7647980095898,0.156711746041482,-17.6425703843408,1.16059532729339e-69,5.37084007843217e-68,2.7647980095898,-6.79652835078726
"MAP_2122",6972.3175946502,-2.37397341759201,0.134686080559963,-17.6259744713197,1.5566329096646e-69,7.1277401653063e-68,2.37397341759201,-5.18366834906261
"MAP_1320c",363.032066802826,2.52809278052403,0.143784914354187,17.5824619145828,3.35679165627632e-69,1.52104621925021e-67,2.52809278052403,5.76808642277335
"MAP_2453c",7408.52985713696,1.90439690765088,0.108586757584729,17.5380216705053,7.34398538247272e-69,3.29343674368622e-67,1.90439690765088,3.74352375077356
"MAP_3785",819.116878146975,2.45685739966698,0.140298616799657,17.5116295207337,1.1680208406152e-68,5.18458230273073e-67,2.45685739966698,5.49019503074879
"MAP_0349",210.884483977891,3.32577457993408,0.19025248277173,17.4808471956943,2.00497918792827e-68,8.80975703786662e-67,3.32577457993408,10.0266973768468
"MAP_0523",602.36265171681,3.26347857834661,0.186806683770689,17.4698169919479,2.43273776069902e-68,1.05824092590407e-66,3.26347857834661,9.60295607350951
"MAP_3783",1523.19142191606,2.59347060460065,0.149456296079981,17.3527022455632,1.88180265735024e-67,8.10479362324112e-66,2.59347060460065,6.03548875155854
"MAP_3267c",3036.29207105908,2.65210198941038,0.153354984353173,17.2938753872039,5.23139723391692e-67,2.23103705564104e-65,2.65210198941038,6.28582448565001
"MAP_2168c",1234.02284174439,-3.0392871207642,0.176213639061699,-17.247740509462,1.16361736036142e-66,4.91430632773997e-65,3.0392871207642,-8.22084744020693
