,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC,ProteinSymbol
0,MAP_0887c,7060.940327,-3.539968262,0.07923136,-44.67887769,0.0,0.0,3.539968262,-11.63152425,Hypothetical Protein
1,MAP_2257,1629.724185,-7.659114134,0.138881836,-55.14842217,0.0,0.0,7.659114134,-202.126425,Hypothetical Protein
2,MAP_2727,4828.371198,8.09819939,0.150756684,53.71701739,0.0,0.0,8.09819939,274.0317772,Hypothetical Protein
3,MAP_3364c,6832.673718,3.058862385,0.079491292,38.48047154,0.0,0.0,3.058862385,8.333152515,Hypothetical Protein
4,MAP_2724c,1510.655967,6.096930236,0.169125746,36.04968724,1.39e-284,1.21e-281,6.096930236,68.44770366,Hypothetical Protein
5,MAP_2726c,7648.093448,7.984352124,0.233469097,34.19875357,2.52e-256,1.83e-253,7.984352124,253.238356,fdxA
6,MAP_4209,816.0276316,5.032224796,0.189930087,26.49514286,1.1e-154,6.85e-152,5.032224796,32.72281135,Hypothetical Protein
7,MAP_1725c,820.3779583,4.838458898,0.183220687,26.40781994,1.11e-153,6.06e-151,4.838458898,28.6102242,Hypothetical Protein
8,MAP_2642,887.2180553,6.056140969,0.232666793,26.02924508,2.31e-149,1.12e-146,6.056140969,66.53958525,Hypothetical Protein
9,MAP_3098c,6730.133319,-2.751110312,0.106404675,-25.85516379,2.1299999999999998e-147,9.26e-145,2.751110312,-6.732350613,Hypothetical Protein
10,MAP_4013,1371.813694,2.783975192,0.112106045,24.83340839,3.91e-136,1.55e-133,2.783975192,6.887475072,Hypothetical Protein
11,MAP_3153,383.0658188,2.502865311,0.101474767,24.66490322,2.55e-134,9.23e-132,2.502865311,5.668100392,Hypothetical Protein
12,MAP_0886c,911.5881499,-3.031988172,0.123124874,-24.62530987,6.77e-134,2.26e-131,3.031988172,-8.179361184,Hypothetical Protein
13,MAP_1497c,701.4133304,3.89048371,0.159884249,24.33312689,8.75e-131,2.7199999999999996e-128,3.89048371,14.83038052,Hypothetical Protein
14,MAP_0101,550.0504049,2.228509401,0.091830412,24.26766207,4.3e-130,1.25e-127,2.228509401,4.686495186,Hypothetical Protein
15,MAP_3069,403.6053225,2.750798879,0.116842702,23.54275304,1.49e-122,4.05e-120,2.750798879,6.730897464,idsA2
16,MAP_3068,270.1515505,2.657360425,0.114384623,23.23179778,2.1699999999999998e-119,5.560000000000001e-117,2.657360425,6.308777302,Hypothetical Protein
17,MAP_0824,11094.91679,-2.353859262,0.101522525,-23.18558634,6.36e-119,1.54e-116,2.353859262,-5.111898751,Hypothetical Protein
18,MAP_3627,1017.393086,-1.561959196,0.067672544,-23.08113622,7.16e-118,1.64e-115,1.561959196,-2.952545302,Hypothetical Protein
19,MAP_1819c,424.8883676,-2.612620862,0.114091951,-22.89925665,4.73e-116,1.03e-113,2.612620862,-6.11613759,Hypothetical Protein
20,MAP_2104,1605.551243,-4.378520246,0.191430651,-22.87261849,8.71e-116,1.8e-113,4.378520246,-20.80012433,fdhF
21,MAP_3702,3400.98608,-3.111984745,0.138640153,-22.44648951,1.38e-111,2.74e-109,3.111984745,-8.645711797,nirB
22,MAP_3188,2103.312475,-2.821833638,0.125897155,-22.41379991,2.89e-111,5.46e-109,2.821833638,-7.070604866,fadE24
23,MAP_4207c,437.9483512,4.813642562,0.214953982,22.3938283,4.52e-111,8.19e-109,4.813642562,28.12229759,Hypothetical Protein
24,MAP_1356c,493.8739661,-2.351953713,0.1096609,-21.44751426,4.82e-102,8.380000000000001e-100,2.351953713,-5.105151282,Hypothetical Protein
25,MAP_2197,202.0194489,2.956730733,0.140438254,21.05359942,2.12e-98,3.55e-96,2.956730733,7.763626606,lipK
26,MAP_4210,550.7380909,5.183276684,0.257145882,20.15695003,2.34e-90,3.7700000000000003e-88,5.183276684,36.33471498,Hypothetical Protein
27,MAP_1724c,122.0870376,4.559027804,0.227176003,20.0682631,1.4e-89,2.17e-87,4.559027804,23.57241726,Hypothetical Protein
28,MAP_2116c,118.3139193,3.047745715,0.153101842,19.90665614,3.5600000000000003e-88,5.34e-86,3.047745715,8.269188261,mce3
29,MAP_0622c,100.0972773,4.255746657,0.216649396,19.64347347,6.57e-86,9.53e-84,4.255746657,19.10325609,Hypothetical Protein
30,MAP_0372,210.8610495,2.093663769,0.107042451,19.5591912,3.44e-85,4.83e-83,2.093663769,4.268306474,pfpI
31,MAP_1809c,146.7067901,3.087514438,0.158149211,19.52279384,7.03e-85,9.55e-83,3.087514438,8.500303998,Hypothetical Protein
